raw_value,record_count,proposed_official_task_type,official_task_type_id,classification,confidence,evidence,source_ids,years,departments,approval_status
选课,87,选课,10,EXACT_MATCH,HIGH,与公司官方订单类型完全一致（忽略大小写与空格）。,source_003|source_005|source_006,2024|2025,学管部|顾问部,CANDIDATE_ONLY
essay,81,essay,1,EXACT_MATCH,HIGH,与公司官方订单类型完全一致（忽略大小写与空格）。,source_001|source_003|source_004|source_005|source_006,2023|2024|2025,学管部|顾问部,CANDIDATE_ONLY
毕业论文,59,Dissertation,4,PROPOSED_HIGH,HIGH,中文“毕业论文”与官方 Dissertation 语义直接对应；服务包信息保留在原值。,source_001|source_002|source_003|source_004|source_005|source_006,2023|2024|2025,学管部|顾问部,CANDIDATE_ONLY
补考,53,,,REVIEW_REQUIRED,LOW,官方范围区分“补考/重写-内部”与“补考/重写-外接”；原始记录未给出该归属。,source_001|source_002|source_003|source_004|source_005|source_006,2023|2024|2025,学管部|顾问部,CANDIDATE_ONLY
考试,45,考试,9,EXACT_MATCH,HIGH,与公司官方订单类型完全一致（忽略大小写与空格）。,source_001|source_002|source_003|source_004|source_005|source_006,2023|2024|2025,学管部|顾问部,CANDIDATE_ONLY
辅导,32,tutoring,3,PROPOSED_MEDIUM,MEDIUM,辅导语义可对应 tutoring，但官方还含提分/陪跑/包过/语言班等细分类型。,source_001|source_002|source_003|source_004|source_005|source_006,2023|2024|2025,学管部|顾问部,CANDIDATE_ONLY
包课,30,包课,5,EXACT_MATCH,HIGH,与公司官方订单类型完全一致（忽略大小写与空格）。,source_001|source_002|source_003|source_004|source_005|source_006,2023|2024|2025,学管部|顾问部,CANDIDATE_ONLY
作业,28,assignment,7,PROPOSED_MEDIUM,MEDIUM,作业可能是 assignment、essay、report 等；官方 assignment 是候选而非已确认映射。,source_001|source_002|source_005,2023|2025,学管部|顾问部,CANDIDATE_ONLY
学年包,21,学年包,MANUAL-TASK-TYPE-001,EXACT_MATCH,HIGH,人工业务确认：学年包是独立官方订单类型；不得归并至辅导年包。,source_001|source_002|source_003|source_005|source_006,2023|2024|2025,学管部|顾问部,CANDIDATE_ONLY
预存,19,,,NON_TASK,HIGH,预存、充值、定金或补款为交易动作，不是公司官方订单类型。,source_002|source_003|source_004|source_005|source_006,2023|2024|2025,学管部|顾问部,CANDIDATE_ONLY
做题,18,做题,10,EXACT_MATCH,HIGH,与公司官方订单类型完全一致（忽略大小写与空格）。,source_001|source_002|source_003|source_004|source_005,2023|2024|2025,学管部|顾问部,CANDIDATE_ONLY
大论文,13,Dissertation,4,PROPOSED_MEDIUM,MEDIUM,“大论文”通常指 Dissertation，但服务/组成部分语义不总是单一官方类型。,source_001|source_002|source_003|source_005,2023|2024|2025,学管部|顾问部,CANDIDATE_ONLY
大论文润色,11,润色-proofreading,8,PROPOSED_HIGH,HIGH,包含明确润色服务语义，对应官方 润色-proofreading。,source_003|source_004|source_005|source_006,2024|2025,学管部|顾问部,CANDIDATE_ONLY
毕业论文润色,10,润色-proofreading,8,PROPOSED_HIGH,HIGH,包含明确润色服务语义，对应官方 润色-proofreading。,source_001|source_003|source_005|source_006,2023|2024|2025,学管部|顾问部,CANDIDATE_ONLY
润色,10,润色-proofreading,8,PROPOSED_HIGH,HIGH,包含明确润色服务语义，对应官方 润色-proofreading。,source_001|source_003|source_005,2023|2024|2025,学管部,CANDIDATE_ONLY
毕业无忧,9,,,REVIEW_REQUIRED,LOW,服务包名称未在官方订单类型中出现同名唯一项，不能自行选择陪跑课、包过辅导或辅导年包。,source_001|source_002,2023,学管部|顾问部,CANDIDATE_ONLY
quiz,7,,,REVIEW_REQUIRED,LOW,官方仅有组合类型 online test-exam/quiz；单独 quiz 不应自动合并。,source_001|source_002,2023,学管部|顾问部,CANDIDATE_ONLY
补考essay,7,,,REVIEW_REQUIRED,LOW,官方范围区分“补考/重写-内部”与“补考/重写-外接”；原始记录未给出该归属。,source_003|source_005,2024|2025,学管部,CANDIDATE_ONLY
report,6,report,6,EXACT_MATCH,HIGH,与公司官方订单类型完全一致（忽略大小写与空格）。,source_001|source_002|source_004|source_005|source_006,2023|2024|2025,学管部|顾问部,CANDIDATE_ONLY
毕业论文part,6,Dissertation-part,13,PROPOSED_HIGH,HIGH,明确包含毕业论文与 part，直接对应官方 Dissertation-part。,source_003,2024,学管部,CANDIDATE_ONLY
/,5,,,UNKNOWN,UNKNOWN,空值或“/”未表达任务类型。,source_001|source_003,2023|2024,学管部,CANDIDATE_ONLY
150词,5,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_002,2023,顾问部,CANDIDATE_ONLY
svip,5,,,REVIEW_REQUIRED,LOW,服务包名称未在官方订单类型中出现同名唯一项，不能自行选择陪跑课、包过辅导或辅导年包。,source_003|source_004|source_005,2024|2025,学管部|顾问部,CANDIDATE_ONLY
毕业论文全包,5,Dissertation,4,PROPOSED_HIGH,HIGH,中文“毕业论文”与官方 Dissertation 语义直接对应；服务包信息保留在原值。,source_003,2024,学管部,CANDIDATE_ONLY
论文,5,Paper,30,PROPOSED_MEDIUM,MEDIUM,可对应官方 Paper，但“论文”可能指学位论文或课程论文，需人工确认。,source_001|source_005|source_006,2023|2025,学管部|顾问部,CANDIDATE_ONLY
2h补考,4,,,REVIEW_REQUIRED,LOW,官方范围区分“补考/重写-内部”与“补考/重写-外接”；原始记录未给出该归属。,source_002,2023,顾问部,CANDIDATE_ONLY
5000词essay,4,essay,1,PROPOSED_HIGH,HIGH,包含明确 essay 语义；字数为描述信息。,source_002,2023,顾问部,CANDIDATE_ONLY
小组作业,4,assignment,7,PROPOSED_MEDIUM,MEDIUM,作业可能是 assignment、essay、report 等；官方 assignment 是候选而非已确认映射。,source_002|source_005,2023|2025,学管部|顾问部,CANDIDATE_ONLY
毕业论文辅导,4,Dissertation- tutoring,12,PROPOSED_HIGH,HIGH,明确包含毕业论文与辅导，直接对应官方 Dissertation- tutoring。,source_003|source_004|source_005|source_006,2024|2025,学管部|顾问部,CANDIDATE_ONLY
1200词,3,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_002|source_004,2023|2024,顾问部,CANDIDATE_ONLY
2000词,3,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_002|source_004|source_006,2023|2024|2025,顾问部,CANDIDATE_ONLY
3000词,3,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_002,2023,顾问部,CANDIDATE_ONLY
SVIP,3,,,REVIEW_REQUIRED,LOW,服务包名称未在官方订单类型中出现同名唯一项，不能自行选择陪跑课、包过辅导或辅导年包。,source_001|source_004|source_005,2023|2024|2025,学管部|顾问部,CANDIDATE_ONLY
ppt,3,PPT,15,EXACT_MATCH,HIGH,与公司官方订单类型完全一致（忽略大小写与空格）。,source_001|source_005,2023|2025,学管部,CANDIDATE_ONLY
pre,3,presentation,16,PROPOSED_MEDIUM,MEDIUM,演示语义可对应 presentation，但部分记录可能是 Group Presentation 或仅演讲稿。,source_004|source_005,2024|2025,学管部|顾问部,CANDIDATE_ONLY
project,3,project,37,EXACT_MATCH,HIGH,与公司官方订单类型完全一致（忽略大小写与空格）。,source_003|source_004|source_005,2024|2025,学管部|顾问部,CANDIDATE_ONLY
半包课,3,,,REVIEW_REQUIRED,LOW,服务包名称未在官方订单类型中出现同名唯一项，不能自行选择陪跑课、包过辅导或辅导年包。,source_003,2024,学管部,CANDIDATE_ONLY
大论文数据处理,3,Dissertation,4,PROPOSED_MEDIUM,MEDIUM,“大论文”通常指 Dissertation，但服务/组成部分语义不总是单一官方类型。,source_003,2024,学管部,CANDIDATE_ONLY
毕业论文半包,3,Dissertation,4,PROPOSED_HIGH,HIGH,中文“毕业论文”与官方 Dissertation 语义直接对应；服务包信息保留在原值。,source_003|source_005,2024|2025,学管部,CANDIDATE_ONLY
质检,3,,,REVIEW_REQUIRED,LOW,官方区分普通质检与高级质检；原始值未注明等级。,source_003|source_006,2024|2025,学管部|顾问部,CANDIDATE_ONLY
1000词,2,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_002|source_004,2023|2024,顾问部,CANDIDATE_ONLY
1000词essay,2,essay,1,PROPOSED_HIGH,HIGH,包含明确 essay 语义；字数为描述信息。,source_002,2023,顾问部,CANDIDATE_ONLY
1500词润色,2,润色-proofreading,8,PROPOSED_HIGH,HIGH,包含明确润色服务语义，对应官方 润色-proofreading。,source_002,2023,顾问部,CANDIDATE_ONLY
3h补考,2,,,REVIEW_REQUIRED,LOW,官方范围区分“补考/重写-内部”与“补考/重写-外接”；原始记录未给出该归属。,source_002,2023,顾问部,CANDIDATE_ONLY
800词essay,2,essay,1,PROPOSED_HIGH,HIGH,包含明确 essay 语义；字数为描述信息。,source_002,2023,顾问部,CANDIDATE_ONLY
800词反思,2,,,REVIEW_REQUIRED,LOW,无充分证据将该原始值唯一映射到公司官方订单类型。,source_002,2023,顾问部,CANDIDATE_ONLY
VIP,2,,,REVIEW_REQUIRED,LOW,服务包名称未在官方订单类型中出现同名唯一项，不能自行选择陪跑课、包过辅导或辅导年包。,source_003|source_005,2024|2025,学管部,CANDIDATE_ONLY
ppt演讲稿,2,presentation,16,PROPOSED_MEDIUM,MEDIUM,演示语义可对应 presentation，但部分记录可能是 Group Presentation 或仅演讲稿。,source_003,2024,学管部,CANDIDATE_ONLY
大论文数据相关,2,Dissertation,4,PROPOSED_MEDIUM,MEDIUM,“大论文”通常指 Dissertation，但服务/组成部分语义不总是单一官方类型。,source_003,2024,学管部,CANDIDATE_ONLY
